country,year,cases,sex,age
AD,1970,0.0,f,0-4
AD,1970,0.0,f,0-4
AD,1970,0.0,f,0-4
AD,1970,0.0,m,0-4
AD,1970,0.0,m,0-4
AD,1970,0.0,m,0-4
AD,1970,1.0,f,15-24
AD,1970,1.0,f,15-24
AD,1970,0.0,f,15-24
AD,1970,1.0,f,15-24
AD,1970,1.0,f,15-24
AD,1970,0.0,f,15-24
AD,1970,1.0,f,15-24
AD,1970,0.0,f,15-24
AD,1970,0.0,f,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,1.0,m,15-24
AD,1970,0.0,m,15-24
AD,1970,1.0,f,25-34
AD,1970,2.0,f,25-34
AD,1970,0.0,f,25-34
AD,1970,0.0,f,25-34
AD,1970,1.0,f,25-34
AD,1970,1.0,f,25-34
AD,1970,1.0,f,25-34
AD,1970,1.0,f,25-34
AD,1970,1.0,f,25-34
AD,1970,0.0,f,25-34
AD,1970,0.0,m,25-34
AD,1970,1.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,1.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,1.0,m,25-34
AD,1970,1.0,m,25-34
AD,1970,0.0,m,25-34
AD,1970,0.0,f,35-44
AD,1970,3.0,f,35-44
AD,1970,1.0,f,35-44
AD,1970,0.0,f,35-44
AD,1970,1.0,f,35-44
AD,1970,0.0,f,35-44
AD,1970,1.0,f,35-44
AD,1970,0.0,f,35-44
AD,1970,1.0,f,35-44
AD,1970,4.0,m,35-44
AD,1970,2.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,0.0,m,35-44
AD,1970,2.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,1.0,m,35-44
AD,1970,2.0,m,35-44
AD,1970,0.0,m,35-44
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,0.0,f,45-54
AD,1970,1.0,f,45-54
AD,1970,1.0,f,45-54
AD,1970,1.0,f,45-54
AD,1970,1.0,m,45-54
AD,1970,2.0,m,45-54
AD,1970,0.0,m,45-54
AD,1970,1.0,m,45-54
AD,1970,0.0,m,45-54
AD,1970,1.0,m,45-54
AD,1970,0.0,m,45-54
AD,1970,2.0,m,45-54
AD,1970,1.0,m,45-54
AD,1970,0.0,m,45-54
AD,1970,0.0,m,45-54
AD,1970,1.0,m,45-54
AD,1970,0.0,f,5-14
AD,1970,0.0,f,5-14
AD,1970,0.0,f,5-14
AD,1970,0.0,m,5-14
AD,1970,0.0,m,5-14
AD,1970,0.0,m,5-14
AD,1970,1.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,f,55-64
AD,1970,0.0,m,55-64
AD,1970,1.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,1.0,m,55-64
AD,1970,0.0,m,55-64
AD,1970,0.0,f,65+
AD,1970,1.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,f,65+
AD,1970,0.0,m,65+
AD,1970,6.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,m,65+
AD,1970,1.0,m,65+
AD,1970,0.0,m,65+
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,f,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AD,1970,0.0,m,
AE,1970,0.0,f,0-4
AE,1970,0.0,f,0-4
AE,1970,0.0,f,0-4
AE,1970,0.0,m,0-4
AE,1970,0.0,m,0-4
AE,1970,0.0,m,0-4
AE,1970,11.0,f,15-24
AE,1970,16.0,f,15-24
AE,1970,3.0,f,15-24
AE,1970,9.0,f,15-24
AE,1970,6.0,f,15-24
AE,1970,6.0,f,15-24
AE,1970,8.0,f,15-24
AE,1970,10.0,f,15-24
AE,1970,9.0,m,15-24
AE,1970,4.0,m,15-24
AE,1970,2.0,m,15-24
AE,1970,10.0,m,15-24
AE,1970,7.0,m,15-24
AE,1970,5.0,m,15-24
AE,1970,5.0,m,15-24
AE,1970,6.0,m,15-24
AE,1970,5.0,f,25-34
AE,1970,1.0,f,25-34
AE,1970,8.0,f,25-34
AE,1970,5.0,f,25-34
AE,1970,2.0,f,25-34
AE,1970,4.0,f,25-34
AE,1970,6.0,f,25-34
AE,1970,4.0,f,25-34
AE,1970,3.0,m,25-34
AE,1970,4.0,m,25-34
AE,1970,0.0,m,25-34
AE,1970,8.0,m,25-34
AE,1970,6.0,m,25-34
AE,1970,3.0,m,25-34
AE,1970,6.0,m,25-34
AE,1970,1.0,m,25-34
AE,1970,3.0,f,35-44
AE,1970,3.0,f,35-44
AE,1970,3.0,f,35-44
AE,1970,3.0,f,35-44
AE,1970,7.0,f,35-44
AE,1970,5.0,f,35-44
AE,1970,3.0,f,35-44
AE,1970,1.0,f,35-44
AE,1970,2.0,m,35-44
AE,1970,6.0,m,35-44
AE,1970,6.0,m,35-44
AE,1970,12.0,m,35-44
AE,1970,7.0,m,35-44
AE,1970,7.0,m,35-44
AE,1970,3.0,m,35-44
AE,1970,7.0,m,35-44
AE,1970,0.0,f,45-54
AE,1970,0.0,f,45-54
AE,1970,4.0,f,45-54
AE,1970,3.0,f,45-54
AE,1970,2.0,f,45-54
AE,1970,3.0,f,45-54
AE,1970,2.0,f,45-54
AE,1970,1.0,f,45-54
AE,1970,4.0,m,45-54
AE,1970,5.0,m,45-54
AE,1970,6.0,m,45-54
AE,1970,3.0,m,45-54
AE,1970,3.0,m,45-54
AE,1970,3.0,m,45-54
AE,1970,4.0,m,45-54
AE,1970,5.0,m,45-54
AE,1970,2.0,f,5-14
AE,1970,1.0,f,5-14
AE,1970,0.0,f,5-14
AE,1970,0.0,m,5-14
AE,1970,2.0,m,5-14
AE,1970,0.0,m,5-14
AE,1970,3.0,f,55-64
AE,1970,0.0,f,55-64
AE,1970,10.0,f,55-64
AE,1970,2.0,f,55-64
AE,1970,2.0,f,55-64
AE,1970,4.0,f,55-64
AE,1970,0.0,f,55-64
AE,1970,3.0,f,55-64
